,Name,Team,Number,Position,Age,Height,Weight,College,Salary
0,Avery Bradley,Boston Celtics,0,PG,25,177,180,Texas,7730337.0
1,Jae Crowder,Boston Celtics,99,SF,25,174,235,Marquette,6796117.0
2,John Holland,Boston Celtics,30,SG,27,153,205,Boston University,
3,R.J. Hunter,Boston Celtics,28,SG,22,177,185,Georgia State,1148640.0
4,Jonas Jerebko,Boston Celtics,8,PF,29,157,231,,5000000.0
5,Amir Johnson,Boston Celtics,90,PF,29,172,240,,12000000.0
6,Jordan Mickey,Boston Celtics,55,PF,21,150,235,LSU,1170960.0
7,Kelly Olynyk,Boston Celtics,41,C,25,160,238,Gonzaga,2165160.0
8,Terry Rozier,Boston Celtics,12,PG,22,164,190,Louisville,1824360.0
9,Marcus Smart,Boston Celtics,36,PG,22,156,220,Oklahoma State,3431040.0
10,Jared Sullinger,Boston Celtics,7,C,24,150,260,Ohio State,2569260.0
11,Isaiah Thomas,Boston Celtics,4,PG,27,152,185,Washington,6912869.0
12,Evan Turner,Boston Celtics,11,SG,27,180,220,Ohio State,3425510.0
13,James Young,Boston Celtics,13,SG,20,170,215,Kentucky,1749840.0
14,Tyler Zeller,Boston Celtics,44,C,26,177,253,North Carolina,2616975.0
15,Bojan Bogdanovic,Brooklyn Nets,44,SG,27,151,216,,3425510.0
16,Markel Brown,Brooklyn Nets,22,SG,24,165,190,Oklahoma State,845059.0
17,Wayne Ellington,Brooklyn Nets,21,SG,28,171,200,North Carolina,1500000.0
18,Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,177,220,Arizona,1335480.0
19,Jarrett Jack,Brooklyn Nets,2,PG,32,180,200,Georgia Tech,6300000.0
20,Sergey Karasev,Brooklyn Nets,10,SG,22,174,208,,1599840.0
21,Sean Kilpatrick,Brooklyn Nets,6,SG,26,172,219,Cincinnati,134215.0
22,Shane Larkin,Brooklyn Nets,0,PG,23,176,175,Miami (FL),1500000.0
23,Brook Lopez,Brooklyn Nets,11,C,28,154,275,Stanford,19689000.0
24,Chris McCullough,Brooklyn Nets,1,PF,21,159,200,Syracuse,1140240.0
25,Willie Reed,Brooklyn Nets,33,PF,26,174,220,Saint Louis,947276.0
26,Thomas Robinson,Brooklyn Nets,41,PF,25,154,237,Kansas,981348.0
27,Henry Sims,Brooklyn Nets,14,C,26,173,248,Georgetown,947276.0
28,Donald Sloan,Brooklyn Nets,15,PG,28,156,205,Texas A&M,947276.0
29,Thaddeus Young,Brooklyn Nets,30,PF,27,176,221,Georgia Tech,11235955.0
30,Arron Afflalo,New York Knicks,4,SG,30,150,210,UCLA,8000000.0
31,Lou Amundson,New York Knicks,17,PF,33,166,220,UNLV,1635476.0
32,Thanasis Antetokounmpo,New York Knicks,43,SF,23,165,205,,30888.0
33,Carmelo Anthony,New York Knicks,7,SF,32,160,240,Syracuse,22875000.0
34,Jose Calderon,New York Knicks,3,PG,34,154,200,,7402812.0
35,Cleanthony Early,New York Knicks,11,SF,25,170,210,Wichita State,845059.0
36,Langston Galloway,New York Knicks,2,SG,24,162,200,Saint Joseph's,845059.0
37,Jerian Grant,New York Knicks,13,PG,23,179,195,Notre Dame,1572360.0
38,Robin Lopez,New York Knicks,8,C,28,162,255,Stanford,12650000.0
39,Kyle O'Quinn,New York Knicks,9,PF,26,173,250,Norfolk State,3750000.0
40,Kristaps Porzingis,New York Knicks,6,PF,20,151,240,,4131720.0
41,Kevin Seraphin,New York Knicks,1,C,26,165,278,,2814000.0
42,Lance Thomas,New York Knicks,42,SF,28,153,235,Duke,1636842.0
43,Sasha Vujacic,New York Knicks,18,SG,32,172,195,,947276.0
44,Derrick Williams,New York Knicks,23,PF,25,171,240,Arizona,4000000.0
45,Tony Wroten,New York Knicks,5,SG,23,165,205,Washington,167406.0
46,Elton Brand,Philadelphia 76ers,42,PF,37,154,254,Duke,
47,Isaiah Canaan,Philadelphia 76ers,0,PG,25,172,201,Murray State,947276.0
48,Robert Covington,Philadelphia 76ers,33,SF,25,174,215,Tennessee State,1000000.0
49,Joel Embiid,Philadelphia 76ers,21,C,22,176,250,Kansas,4626960.0
50,Jerami Grant,Philadelphia 76ers,39,SF,22,178,210,Syracuse,845059.0
51,Richaun Holmes,Philadelphia 76ers,22,PF,22,150,245,Bowling Green,1074169.0
52,Carl Landry,Philadelphia 76ers,7,PF,32,151,248,Purdue,6500000.0
53,Kendall Marshall,Philadelphia 76ers,5,PG,24,160,200,North Carolina,2144772.0
54,T.J. McConnell,Philadelphia 76ers,12,PG,24,163,200,Arizona,525093.0
55,Nerlens Noel,Philadelphia 76ers,4,PF,22,159,228,Kentucky,3457800.0
56,Jahlil Okafor,Philadelphia 76ers,8,C,20,173,275,Duke,4582680.0
57,Ish Smith,Philadelphia 76ers,1,PG,27,158,175,Wake Forest,947276.0
58,Nik Stauskas,Philadelphia 76ers,11,SG,22,152,205,Michigan,2869440.0
59,Hollis Thompson,Philadelphia 76ers,31,SG,25,180,206,Georgetown,947276.0
60,Christian Wood,Philadelphia 76ers,35,PF,20,171,220,UNLV,525093.0
61,Bismack Biyombo,Toronto Raptors,8,C,23,157,245,,2814000.0
62,Bruno Caboclo,Toronto Raptors,20,SF,20,157,205,,1524000.0
63,DeMarre Carroll,Toronto Raptors,5,SF,29,152,212,Missouri,13600000.0
64,DeMar DeRozan,Toronto Raptors,10,SG,26,159,220,USC,10050000.0
65,James Johnson,Toronto Raptors,3,PF,29,150,250,Wake Forest,2500000.0
66,Cory Joseph,Toronto Raptors,6,PG,24,163,190,Texas,7000000.0
67,Kyle Lowry,Toronto Raptors,7,PG,30,167,205,Villanova,12000000.0
68,Lucas Nogueira,Toronto Raptors,92,C,23,158,220,,1842000.0
69,Patrick Patterson,Toronto Raptors,54,PF,27,163,235,Kentucky,6268675.0
